Table,Field,Description
Products,Product_ID,Product ID
Products,Product_Name,Product name
Products,Product_Category,Product Category
Products,Product_Cost,Product cost ($USD)
Products,Product_Price,Product retail price ($USD)
Inventory,Store_ID,Store ID
Inventory,Product_ID,Product ID
Inventory,Stock_On_Hand,Stock quantity of the product in the store (inventory)
Stores,Store_ID,Store ID
Stores,Store_Name,Store name
Stores,Store_City,City in Mexico where the store is located
Stores,Store_Location,Location in the city where the store is located
Stores,Store_Open_Date,Date when the store was opened
Sales,Sale_ID,Sale ID
Sales,Date,Date of the transaction
Sales,Store_ID,Store ID
Sales,Product_ID,Product ID
Sales,Units,Units sold
Calendar,Date,Calendar date
